551 3158
1	345	1.27503
1	422	1.88745
1	476	2.18145
1	491	2.38489
1	510	2.6472
1	513	2.64242
2	359	1.3201
2	495	2.39001
2	516	2.62416
2	518	2.62385
2	519	2.62193
2	528	2.61836
2	529	2.61311
3	395	1.75228
3	484	2.17187
3	493	2.41125
3	501	2.49425
3	507	2.50423
3	512	2.49944
3	524	2.81444
4	158	1.24784
4	400	2.43915
4	425	2.687
4	434	2.63602
4	438	2.67653
4	442	2.62201
4	464	2.7638
5	509	2.17434
5	522	2.3753
5	531	2.55534
5	533	2.55033
5	534	2.5439
5	536	2.53601
5	537	2.52665
6	55	2.09179
6	76	2.1445
6	94	2.1069
6	130	2.31222
6	199	2.52261
6	211	2.51993
6	252	2.69274
7	190	1.68205
7	272	2.1761
7	327	2.28969
7	336	2.28697
7	378	2.58687
7	392	2.58091
7	419	2.98475
8	86	1.86308
8	134	2.09736
8	181	2.31187
8	186	2.32783
8	240	2.31363
8	248	2.83663
8	267	2.5149
9	78	1.71622
9	125	2.04374
9	142	1.95442
9	270	2.36056
9	306	2.56822
9	331	2.55707
9	363	3.04127
10	104	1.70684
10	125	1.94987
10	203	2.13014
10	264	2.47639
10	270	2.26669
10	306	2.47436
10	372	3.07331
11	16	1.89444
11	79	2.03985
11	131	2.14847
11	173	2.19771
11	299	2.57651
11	302	2.91744
11	304	2.56947
12	88	1.80106
12	182	2.21183
12	249	2.44942
12	271	2.45602
12	277	2.45833
12	291	2.45588
12	298	2.44846
13	375	1.86376
13	409	2.39595
13	421	2.3083
13	430	2.51118
13	432	2.36189
13	452	2.49064
13	461	2.67316
14	38	1.79164
14	133	2.11973
14	165	2.10468
14	185	2.73597
14	229	2.28286
14	237	2.39479
14	281	2.85707
15	56	1.37323
15	156	1.53362
15	272	2.32962
15	336	2.44049
15	378	2.74039
15	392	2.73443
15	419	3.13827
16	11	1.89444
16	79	2.05147
16	131	2.16009
16	166	2.20788
16	299	2.58814
16	302	2.92906
16	304	2.58109
17	138	2.05543
17	151	2.09438
17	175	2.19505
17	195	2.34055
17	209	2.34467
17	268	2.82672
17	287	2.50178
18	52	2.07539
18	137	2.24925
18	147	2.27805
18	153	2.24322
18	215	2.47513
18	236	2.43864
18	295	2.62373
19	348	1.82397
19	375	1.96494
19	421	2.40949
19	430	2.61237
19	432	2.46307
19	452	2.59183
19	461	2.77434
20	105	0.914343
20	323	1.75908
20	374	2.17094
20	441	2.70828
20	448	2.77133
20	462	2.76489
20	477	3.12141
21	81	1.65892
21	224	1.99534
21	253	2.20441
21	297	2.29986
21	307	2.45343
21	337	2.77169
21	383	2.76837
22	511	2.18334
22	530	2.38
